2_7_posi,1_2_posi,10.347680514980768
2_7_posi,3_3_posi,10.482660565074514
2_7_posi,3_6_nega,20.78000869340739
2_7_posi,4_2_nega,10.499696811657532
2_7_posi,3_3_nega,10.110973936737357
2_7_posi,1_1_posi,12.613439487352922
2_7_posi,2_0_posi,12.758781981674348
2_7_posi,4_1_nega,12.052988438316273
2_7_posi,6_2_nega,10.828082764528874
2_7_posi,2_3_nega,12.46804866506802
2_7_posi,3_6_posi,41.17738561343543
2_7_posi,7_6_posi,15.27003935308266
2_7_posi,3_2_nega,13.420312642143271
2_7_posi,2_2_posi,22.885097154183985
2_7_posi,2_0_nega,13.252811665328407
2_7_posi,2_1_nega,15.070214089543914
2_7_posi,3_2_posi,14.095842009519323
2_7_posi,1_2_nega,23.12498421670626
2_7_posi,3_1_posi,15.314902803774638
2_7_posi,1_1_nega,15.98237162584219
2_7_posi,3_1_nega,14.326423370552803
2_7_posi,2_1_posi,15.910385660522548
2_7_posi,7_6_nega,14.742913731101352
2_7_posi,2_2_nega,15.86335799754989
6_4_nega,6_5_nega,10.234399468820648
6_4_nega,3_4_nega,10.739242443865164
6_4_nega,2_3_posi,10.774869196818042
6_4_nega,4_2_posi,12.093923278382965
6_4_nega,4_1_posi,10.721436291785048
6_4_nega,3_0_posi,12.660777177572445
6_4_nega,4_0_nega,13.378373551952564
6_4_nega,1_2_posi,15.46473517383542
6_4_nega,3_3_posi,14.549428521062232
6_4_nega,3_6_nega,11.743270822717172
6_4_nega,3_0_nega,14.499778012462594
6_4_nega,4_2_nega,11.076612531841267
6_4_nega,3_3_nega,15.24925402645298
6_4_nega,1_1_posi,16.776574653560857
6_4_nega,2_0_posi,13.520800357321278
6_4_nega,4_1_nega,15.326220864033502
6_4_nega,4_3_nega,10.974192330754992
6_4_nega,7_7_nega,13.933657561991692
6_4_nega,6_2_nega,14.339848924375204
6_4_nega,2_3_nega,14.078052993648491
6_4_nega,3_6_posi,15.064523668460684
6_4_nega,7_6_posi,17.555625292399114
6_4_nega,3_2_nega,17.14809393776906
6_4_nega,2_2_posi,17.452256244081248
6_4_nega,2_0_nega,16.324217851843223
6_4_nega,2_1_nega,17.67235569608381
6_4_nega,3_2_posi,16.055026135237153
6_4_nega,1_2_nega,16.855895388535583
6_4_nega,3_1_posi,19.0414201514459
6_4_nega,1_1_nega,17.50009729717356
6_4_nega,3_1_nega,19.63032009350961
6_4_nega,2_1_posi,18.77303625454925
6_4_nega,7_6_nega,16.581684718091406
6_4_nega,2_2_nega,23.6667636294947
7_2_nega,2_3_posi,10.08681836978301
7_2_nega,1_0_nega,11.986418835438545
7_2_nega,4_2_posi,11.175868494916891
7_2_nega,7_7_posi,10.93301629707313
7_2_nega,4_1_posi,11.113607484002637
7_2_nega,3_0_posi,12.062525122279572
7_2_nega,4_0_nega,11.592722374025065
7_2_nega,1_2_posi,10.861637940711777
7_2_nega,3_3_posi,13.576041168167661
7_2_nega,3_0_nega,12.692469785686704
7_2_nega,4_2_nega,12.466964375894946
